method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,2013p543824,3.933333158493042,6.5,6.545749664306641,-2.566666841506958,-2.6124165058135986,8,0.0,0.0
released,1,2013p613797,3.933333158493042,6.5,6.6639580726623535,-2.566666841506958,-2.7306249141693115,10,0.0,0.0
released,1,2021p169083,3.933333158493042,7.199999809265137,7.435434818267822,-3.2666666507720947,-3.5021016597747803,10,0.0,0.0
released,1,Aegean2014,3.933333158493042,6.900000095367432,7.039112091064453,-2.9666669368743896,-3.105778932571411,4,0.0,0.0
released,1,Chignic2021,3.933333158493042,8.199999809265137,8.158402442932129,-4.266666650772095,-4.225069284439087,41,0.0,0.0
released,1,ElMayor2010,3.933333158493042,7.199999809265137,7.054410934448242,-3.2666666507720947,-3.1210777759552,84,0.0,0.0
released,1,Eureka2014,3.933333158493042,6.800000190734863,7.036463260650635,-2.8666670322418213,-3.1031301021575928,15,0.0,0.0
released,1,Ibaraki2011,3.933333158493042,7.900000095367432,7.699999809265137,-3.9666669368743896,-3.7666666507720947,507,0.0,0.0
released,1,Illapel2015,3.933333158493042,8.300000190734863,8.278295516967773,-4.366667032241821,-4.3449623584747314,24,0.0,0.0
released,1,Kaikoura2016,3.933333158493042,7.800000190734863,7.906265735626221,-3.8666670322418213,-3.9729325771331787,32,0.0,0.0
released,1,Kilauea2018,3.933333158493042,6.900000095367432,6.959524631500244,-2.9666669368743896,-3.026191473007202,15,0.0,0.0
released,1,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,0.0,0.0
released,1,Lefkada2015,3.933333158493042,6.5,6.584547519683838,-2.566666841506958,-2.651214361190796,3,0.0,0.0
released,1,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,0.0,0.0
released,1,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,0.0,0.0
released,1,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released,1,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.0,0.0
released,1,Nepal2015,3.933333158493042,7.800000190734863,7.9343438148498535,-3.8666670322418213,-4.0010106563568115,6,0.0,0.0
released,1,Nicoya2012,3.933333158493042,7.599999904632568,7.513957500457764,-3.6666667461395264,-3.5806243419647217,9,0.0,0.0
released,1,Simeonof2020,3.933333158493042,7.800000190734863,7.865213871002197,-3.8666670322418213,-3.9318807125091553,19,0.0,0.0
released,1,Tehuantepec2017,3.933333158493042,8.199999809265137,8.14512825012207,-4.266666650772095,-4.211795091629028,4,0.0,0.0
released,1,Tohoku2011,3.933333158493042,9.100000381469727,9.031342506408691,-5.166667222976685,-5.098009347915649,688,0.0,0.0
released,1,nc73821036,3.933333158493042,6.400000095367432,6.360384464263916,-2.4666669368743896,-2.427051305770874,9,0.0,0.0
released,1,us6000ah9t,3.933333158493042,7.400000095367432,7.415288925170898,-3.4666669368743896,-3.4819557666778564,5,0.0,0.0
released,2,2013p543824,3.933333158493042,6.5,6.545749664306641,-2.566666841506958,-2.6124165058135986,8,0.0,0.0
released,2,2013p613797,3.933333158493042,6.5,6.6639580726623535,-2.566666841506958,-2.7306249141693115,10,0.0,0.0
released,2,2021p169083,3.933333158493042,7.199999809265137,7.435434818267822,-3.2666666507720947,-3.5021016597747803,10,0.0,0.0
released,2,Aegean2014,3.933333158493042,6.900000095367432,7.039112091064453,-2.9666669368743896,-3.105778932571411,4,0.0,0.0
released,2,Chignic2021,3.933333158493042,8.199999809265137,8.158402442932129,-4.266666650772095,-4.225069284439087,41,0.0,0.0
released,2,ElMayor2010,3.933333158493042,7.199999809265137,7.054410934448242,-3.2666666507720947,-3.1210777759552,84,0.0,0.0
released,2,Eureka2014,3.933333158493042,6.800000190734863,7.036463260650635,-2.8666670322418213,-3.1031301021575928,15,0.0,0.0
released,2,Ibaraki2011,3.933333158493042,7.900000095367432,7.699999809265137,-3.9666669368743896,-3.7666666507720947,507,0.0,0.0
released,2,Illapel2015,3.933333158493042,8.300000190734863,8.278295516967773,-4.366667032241821,-4.3449623584747314,24,0.0,0.0
released,2,Kaikoura2016,3.933333158493042,7.800000190734863,7.906265735626221,-3.8666670322418213,-3.9729325771331787,32,0.0,0.0
released,2,Kilauea2018,3.933333158493042,6.900000095367432,6.959524631500244,-2.9666669368743896,-3.026191473007202,15,0.0,0.0
released,2,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,0.0,0.0
released,2,Lefkada2015,3.933333158493042,6.5,6.584547519683838,-2.566666841506958,-2.651214361190796,3,0.0,0.0
released,2,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,0.0,0.0
released,2,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,0.0,0.0
released,2,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released,2,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.0,0.0
released,2,Nepal2015,3.933333158493042,7.800000190734863,7.9343438148498535,-3.8666670322418213,-4.0010106563568115,6,0.0,0.0
released,2,Nicoya2012,3.933333158493042,7.599999904632568,7.513957500457764,-3.6666667461395264,-3.5806243419647217,9,0.0,0.0
released,2,Simeonof2020,3.933333158493042,7.800000190734863,7.865213871002197,-3.8666670322418213,-3.9318807125091553,19,0.0,0.0
released,2,Tehuantepec2017,3.933333158493042,8.199999809265137,8.14512825012207,-4.266666650772095,-4.211795091629028,4,0.0,0.0
released,2,Tohoku2011,3.933333158493042,9.100000381469727,9.031342506408691,-5.166667222976685,-5.098009347915649,688,0.0,0.0
released,2,nc73821036,3.933333158493042,6.400000095367432,6.360384464263916,-2.4666669368743896,-2.427051305770874,9,0.0,0.0
released,2,us6000ah9t,3.933333158493042,7.400000095367432,7.415288925170898,-3.4666669368743896,-3.4819557666778564,5,0.0,0.0
released,3,2013p543824,3.933333158493042,6.5,6.545749664306641,-2.566666841506958,-2.6124165058135986,8,0.0,0.0
released,3,2013p613797,3.933333158493042,6.5,6.6639580726623535,-2.566666841506958,-2.7306249141693115,10,0.29575774669647215,0.0
released,3,2021p169083,3.933333158493042,7.199999809265137,7.435434818267822,-3.2666666507720947,-3.5021016597747803,10,0.0,0.0
released,3,Aegean2014,3.933333158493042,6.900000095367432,7.039112091064453,-2.9666669368743896,-3.105778932571411,4,0.0,0.0
released,3,Chignic2021,3.933333158493042,8.199999809265137,8.158402442932129,-4.266666650772095,-4.225069284439087,41,0.0,0.0
released,3,ElMayor2010,3.933333158493042,7.199999809265137,7.054410934448242,-3.2666666507720947,-3.1210777759552,84,0.0,0.0
released,3,Eureka2014,3.933333158493042,6.800000190734863,7.036463260650635,-2.8666670322418213,-3.1031301021575928,15,0.0,0.0
released,3,Ibaraki2011,3.933333158493042,7.900000095367432,7.699999809265137,-3.9666669368743896,-3.7666666507720947,507,0.0,0.0
released,3,Illapel2015,3.933333158493042,8.300000190734863,8.278295516967773,-4.366667032241821,-4.3449623584747314,24,0.0,0.0
released,3,Kaikoura2016,3.933333158493042,7.800000190734863,7.906265735626221,-3.8666670322418213,-3.9729325771331787,32,0.0,0.0
released,3,Kilauea2018,3.933333158493042,6.900000095367432,6.959524631500244,-2.9666669368743896,-3.026191473007202,15,0.2442102008975323,0.0
released,3,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,0.09453875201547837,0.0
released,3,Lefkada2015,3.933333158493042,6.5,6.584547519683838,-2.566666841506958,-2.651214361190796,3,0.44468645340821766,0.47166121006011963
released,3,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,0.0,0.0
released,3,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,0.0,0.0
released,3,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released,3,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.0,0.0
released,3,Nepal2015,3.933333158493042,7.800000190734863,7.9343438148498535,-3.8666670322418213,-4.0010106563568115,6,0.0,0.0
released,3,Nicoya2012,3.933333158493042,7.599999904632568,7.513957500457764,-3.6666667461395264,-3.5806243419647217,9,0.0,0.0
released,3,Simeonof2020,3.933333158493042,7.800000190734863,7.865213871002197,-3.8666670322418213,-3.9318807125091553,19,0.0,0.0
released,3,Tehuantepec2017,3.933333158493042,8.199999809265137,8.14512825012207,-4.266666650772095,-4.211795091629028,4,0.0,0.0
released,3,Tohoku2011,3.933333158493042,9.100000381469727,9.031342506408691,-5.166667222976685,-5.098009347915649,688,0.0,0.0
released,3,nc73821036,3.933333158493042,6.400000095367432,6.360384464263916,-2.4666669368743896,-2.427051305770874,9,0.0,0.0
released,3,us6000ah9t,3.933333158493042,7.400000095367432,7.415288925170898,-3.4666669368743896,-3.4819557666778564,5,0.0,0.0
released_constrained,3,2013p613797,4.919192314147949,6.5,6.6639580726623535,-1.5808076858520508,-1.7447657585144043,1,0.0,0.0
released_constrained,3,Kilauea2018,4.547977447509766,6.900000095367432,6.959524631500244,-2.352022647857666,-2.4115471839904785,3,0.06447985774958638,0.07863640785217285
released_constrained,3,Kumamoto2016,4.784844875335693,7.0,6.987936019897461,-2.2151551246643066,-2.2030911445617676,2,0.058393001556396484,0.058393001556396484
released_constrained,3,Lefkada2015,4.876655578613281,6.5,6.584547519683838,-1.6233444213867188,-1.7078919410705566,1,0.0,0.0
released,4,2013p543824,3.933333158493042,6.5,6.545749664306641,-2.566666841506958,-2.6124165058135986,8,0.0,0.0
released,4,2013p613797,3.933333158493042,6.5,6.6639580726623535,-2.566666841506958,-2.7306249141693115,10,0.4029765560449218,0.0
released,4,2021p169083,3.933333158493042,7.199999809265137,7.435434818267822,-3.2666666507720947,-3.5021016597747803,10,0.0,0.0
released,4,Aegean2014,3.933333158493042,6.900000095367432,7.039112091064453,-2.9666669368743896,-3.105778932571411,4,0.0,0.0
released,4,Chignic2021,3.933333158493042,8.199999809265137,8.158402442932129,-4.266666650772095,-4.225069284439087,41,0.0,0.0
released,4,ElMayor2010,3.933333158493042,7.199999809265137,7.054410934448242,-3.2666666507720947,-3.1210777759552,84,0.0,0.0
released,4,Eureka2014,3.933333158493042,6.800000190734863,7.036463260650635,-2.8666670322418213,-3.1031301021575928,15,0.0,0.0
released,4,Ibaraki2011,3.933333158493042,7.900000095367432,7.699999809265137,-3.9666669368743896,-3.7666666507720947,507,0.0,0.0
released,4,Illapel2015,3.933333158493042,8.300000190734863,8.278295516967773,-4.366667032241821,-4.3449623584747314,24,0.0,0.0
released,4,Kaikoura2016,3.933333158493042,7.800000190734863,7.906265735626221,-3.8666670322418213,-3.9729325771331787,32,0.0,0.0
released,4,Kilauea2018,3.933333158493042,6.900000095367432,6.959524631500244,-2.9666669368743896,-3.026191473007202,15,0.491295461385701,0.8384947776794434
released,4,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,0.13959216036431205,0.0
released,4,Lefkada2015,4.870772361755371,6.5,6.584547519683838,-1.629227638244629,-1.7137751579284668,3,0.6207794945669703,0.7527848482131958
released,4,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,0.0,0.0
released,4,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,0.0,0.0
released,4,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released,4,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.0,0.0
released,4,Nepal2015,3.933333158493042,7.800000190734863,7.9343438148498535,-3.8666670322418213,-4.0010106563568115,6,0.0,0.0
released,4,Nicoya2012,3.933333158493042,7.599999904632568,7.513957500457764,-3.6666667461395264,-3.5806243419647217,9,0.0,0.0
released,4,Simeonof2020,3.933333158493042,7.800000190734863,7.865213871002197,-3.8666670322418213,-3.9318807125091553,19,0.0,0.0
released,4,Tehuantepec2017,3.933333158493042,8.199999809265137,8.14512825012207,-4.266666650772095,-4.211795091629028,4,0.0,0.0
released,4,Tohoku2011,3.933333158493042,9.100000381469727,9.031342506408691,-5.166667222976685,-5.098009347915649,688,0.0,0.0
released,4,nc73821036,3.933333158493042,6.400000095367432,6.360384464263916,-2.4666669368743896,-2.427051305770874,9,0.0,0.0
released,4,us6000ah9t,3.933333158493042,7.400000095367432,7.415288925170898,-3.4666669368743896,-3.4819557666778564,5,0.0,0.0
released_constrained,4,2013p613797,4.8570098876953125,6.5,6.6639580726623535,-1.6429901123046875,-1.806948184967041,2,0.35973262786865234,0.35973262786865234
released_constrained,4,Kilauea2018,5.009834289550781,6.900000095367432,6.959524631500244,-1.8901658058166504,-1.949690341949463,5,0.16377792684228012,0.2307877540588379
released_constrained,4,Kumamoto2016,5.193623304367065,7.0,6.987936019897461,-1.8063766956329346,-1.7943127155303955,2,0.004500627517700195,0.004500627517700195
released_constrained,4,Lefkada2015,5.154837608337402,6.5,6.584547519683838,-1.3451623916625977,-1.4297099113464355,2,0.28406524658203125,0.28406524658203125
released,5,2013p543824,3.933333158493042,6.5,6.545749664306641,-2.566666841506958,-2.6124165058135986,8,0.46468403480196785,0.0
released,5,2013p613797,3.933333158493042,6.5,6.6639580726623535,-2.566666841506958,-2.7306249141693115,10,0.5323450690152235,0.0
released,5,2021p169083,3.933333158493042,7.199999809265137,7.435434818267822,-3.2666666507720947,-3.5021016597747803,10,0.0,0.0
released,5,Aegean2014,3.933333158493042,6.900000095367432,7.039112091064453,-2.9666669368743896,-3.105778932571411,4,0.0,0.0
released,5,Chignic2021,3.933333158493042,8.199999809265137,8.158402442932129,-4.266666650772095,-4.225069284439087,41,0.0,0.0
released,5,ElMayor2010,3.933333158493042,7.199999809265137,7.054410934448242,-3.2666666507720947,-3.1210777759552,84,0.0,0.0
released,5,Eureka2014,3.933333158493042,6.800000190734863,7.036463260650635,-2.8666670322418213,-3.1031301021575928,15,0.0,0.0
released,5,Ibaraki2011,3.933333158493042,7.900000095367432,7.699999809265137,-3.9666669368743896,-3.7666666507720947,507,0.0,0.0
released,5,Illapel2015,3.933333158493042,8.300000190734863,8.278295516967773,-4.366667032241821,-4.3449623584747314,24,0.0,0.0
released,5,Kaikoura2016,3.933333158493042,7.800000190734863,7.906265735626221,-3.8666670322418213,-3.9729325771331787,32,0.148359620733688,0.0
released,5,Kilauea2018,4.6333723068237305,6.900000095367432,6.959524631500244,-2.266627788543701,-2.3261523246765137,15,0.5658467038390433,1.1986002922058105
released,5,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,0.2456058358116619,0.0
released,5,Lefkada2015,5.325733184814453,6.5,6.584547519683838,-1.1742668151855469,-1.2588143348693848,3,0.7804351897455788,0.9152799844741821
released,5,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,0.0,0.0
released,5,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,0.0,0.0
released,5,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released,5,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.0,0.0
