method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,2,2013p613797,3.933333158493042,6.5,6.6639580726623535,-2.566666841506958,-2.7306249141693115,10,0.31440703868865966,0.0
released,2,2021p169083,3.933333158493042,7.199999809265137,7.435434818267822,-3.2666666507720947,-3.5021016597747803,10,0.0,0.0
released,2,Aegean2014,3.933333158493042,6.900000095367432,7.039112091064453,-2.9666669368743896,-3.105778932571411,4,0.0,0.0
released,2,Chignic2021,3.933333158493042,8.199999809265137,8.158402442932129,-4.266666650772095,-4.225069284439087,41,0.0,0.0
released,2,ElMayor2010,3.933333158493042,7.199999809265137,7.054410934448242,-3.2666666507720947,-3.1210777759552,84,0.0,0.0
released,2,Eureka2014,3.933333158493042,6.800000190734863,7.036463260650635,-2.8666670322418213,-3.1031301021575928,15,0.0,0.0
released,2,Ibaraki2011,3.933333158493042,7.900000095367432,7.699999809265137,-3.9666669368743896,-3.7666666507720947,507,0.0,0.0
released,2,Illapel2015,3.933333158493042,8.300000190734863,8.278295516967773,-4.366667032241821,-4.3449623584747314,24,0.0,0.0
released,2,Kaikoura2016,3.933333158493042,7.800000190734863,7.906265735626221,-3.8666670322418213,-3.9729325771331787,32,0.0,0.0
released,2,Kilauea2018,3.933333158493042,6.900000095367432,6.959524631500244,-2.9666669368743896,-3.026191473007202,15,0.3344250137587131,0.0
released,2,Kumamoto2016,3.933333158493042,7.0,6.987936019897461,-3.066666841506958,-3.054602861404419,161,0.12286286130653369,0.0
released,2,Lefkada2015,3.933333158493042,6.5,6.584547519683838,-2.566666841506958,-2.651214361190796,3,0.5705430122079328,0.6051522493362427
released,2,Melinka2016,3.933333158493042,7.599999904632568,7.548134803771973,-3.6666667461395264,-3.6148016452789307,5,0.0,0.0
released,2,Mentawai2010,3.933333158493042,7.800000190734863,7.852694034576416,-3.8666670322418213,-3.919360876083374,9,0.0,0.0
released,2,Miyagi2011A,3.933333158493042,7.300000190734863,7.2601847648620605,-3.3666670322418213,-3.3268516063690186,84,0.0,0.0
released,2,Miyagi2011B,3.933333158493042,7.099999904632568,7.146298408508301,-3.1666667461395264,-3.212965250015259,46,0.0,0.0
released,2,Nepal2015,3.933333158493042,7.800000190734863,7.9343438148498535,-3.8666670322418213,-4.0010106563568115,6,0.0,0.0
released,2,Nicoya2012,3.933333158493042,7.599999904632568,7.513957500457764,-3.6666667461395264,-3.5806243419647217,9,0.0,0.0
released,2,Simeonof2020,3.933333158493042,7.800000190734863,7.865213871002197,-3.8666670322418213,-3.9318807125091553,19,0.0,0.0
